feature,mi_score
f1,0.006034948484474167
f2,0.0072296632744923706
f3,0.011422852871393774
f4,0.011227803666226333
f5,0.005307395714634566
f6,0.0056064705996159425
f7,0.005159005395098948
f8,0.004739552230763833
f9,0.005672979888514007
f10,0.005131534237857283
f11,0.0068705934789985434
f12,0.004162376785716404
f13,0
f14,0.00026308134389974036
f15,0.0006191171178491217
f16,5.17954367258433e-05
f17,0.0025471092928903705
f18,0.00491610903096662
f19,0.004285562134549004
f20,0.0012762346490913234
f21,0.0008897699678502846
f22,0.0108658165495088
f23,0.000563752029343334
f24,0
f25,0.00013855653727401496
f26,0.002621110012704264
f27,0.006149814126792608
f28,0.09943286172139043
f29,0.0671845703452052
f30,0.10460093485193989
f31,0.12406863551874991
f32,0.016888432216439986
f33,0.007162680669094312
f34,0.017005240009314804
f35,0.0068796454776083316
f36,0.04567081327175848
f37,0
f38,0.009049811410545505
f39,0.08982414403027739
f40,0.06562527165051546
f41,0.09670095644465859
f42,0.029262404880779247
f43,0.04164878770274405
f44,0.0026921734714075995
f45,0.006913358062212938
f46,0.06728510709849123
f47,0.07223929769289827
f48,0.018146749671685836
f49,0.01938597893618743
f50,0.0823076591812244
f51,0.06558615581330796
f52,0.05222043986504232
f53,0.09603889871957527
f54,0.03532891212373568
f55,0.016884401298493446
f56,0.01935557666995469
f57,0.025349657861433172
f58,0.06692703143099221
f59,0.09508993628264029
f60,0.015778648840338194
f61,0.0008121926597564055
f62,0
f63,0.0013393057162518485
f64,0.001157982601234453
f65,0.022741817509253304
f66,0.00012694286140890743
f67,0.09497215600154063
f68,0.09789624913454031
f69,0.042095823124740805
f70,0.0003925114432363763
f71,0
f72,0.006012851140629882
f73,0.022488106701981314
f74,0.04476165389240938
f75,0.0003851951114672847
f76,0.09804102363537281
f77,0.0871167534702173
f78,0.043032840245087245
f79,0.0233950722423939
f80,0
f81,0.015215451867004015
f82,0.029724504921252892
f83,0.053718082784101506
f84,0.022025962303821922
f85,0.07958627310241662
f86,0.04931159500902704
f87,0.006277415376400919
f88,0
f89,0.006607568553384402
f90,0.03430370468164479
f91,0.04607876971377434
f92,0
f93,0.07988216526658176
f94,0.020864516047145898
f95,0.04356397470514084
f96,0.030232118801780228
f97,0.019535179532887526
f98,0.02250827307993264
f99,0.03078870793976396
f100,0.01292342756747522
f101,0.0120701884243819
f102,0
f103,0.05735892838761014
f104,0.014984194674397378
f105,0.04885138699582847
f106,0.03292999273923658
f107,0.012884780694206066
f108,0.02479511472303364
f109,0.022849518095453325
f110,0.0050979809858389125
f111,0.006425458847404197
f112,0
f113,0.06894272859194661
f114,0.09140083834679125
f115,0.1156533905681636
f116,0.09424914201370571
f117,0.0755224048543719
f118,0.22930768922135814
f119,0.0778999542759482
f120,0
f121,0.04887951877277952
f122,0
f123,0.04145318174095691
f124,0.039386009787116816
f125,0.06362146755608267
f126,0.03401371388620289
f127,0.049068693679716
f128,0.00040240145720549236
f129,0.0004960014912469557
f130,0.08171260058642349
f131,0.06375223888136272
f132,0.0931084461574192
f133,0.08008707468583687
f134,0.0858443032420626
f135,0
f136,0
f137,0.09322894922897773
f138,0.09293473636234784
f139,0.1110339649592913
f140,0.09082887681395624
f141,0.07994010883636893
f142,0.0942198009900983
f143,0.08927792915324351
f144,0
f145,0.00031757347350369614
f146,0.09008090738681718
f147,0.09108489253478913
f148,0.09966674769702988
f149,0.07370170292650613
f150,0.09709468722339976
f151,0.09550382371178312
f152,0.002522355677673227
f153,0.0022092787014187376
f154,0.00040603655756576984
f155,0.005144586125176209
f156,0.003738827039562409
f157,0.014731138022190171
f158,0.021779706344480898
f159,0.004987963286500863
f160,0.0009347003568260792
f161,0.006981478529333174
f162,0.008418004749472852
f163,0.03937715538581066
f164,0.03929082447640053
f165,0
f166,0.05455226149484349
f167,0.04935517778890075
f168,0.07852035844605232
f169,0.09353274267416811
f170,0.0559701588753021
f171,0.01752137812378818
f172,0.060790226418814264
f173,0.06812275388077316
f174,0.006371385679907693
f175,0.004129666409526278
f176,0.0004133612144072707
f177,0.005299402887759541
f178,0.0046202279475362484
f179,0.007818268922779481
f180,0.00840714481695981
f181,0.008021260406889663
f182,0.0009514947503110882
f183,0.007393097793400916
f184,0.008234952388442407
f185,0.00303213596389873
f186,0.01367555859815428
f187,0.0030842926610641364
f188,0.005100878496810735
f189,0
f190,0.005669546480901788
f191,0.004209888846066656
f192,0.014691401796387726
f193,0.01529671650367792
f194,0.006141144815067223
f195,0.001336555627547753
f196,0.009156754962774016
f197,0.008579787542457806
f198,0.016061603765746835
f199,0.07885887396963875
f200,0.09863239397812995
f201,0.06963886010857179
f202,0.09698165122384994
f203,0.09638859171211389
f204,0.09276638909242196
f205,0.0014512686156560317
f206,0.00077342203476638
f207,0.005422039805024648
f208,0.031793106721477615
f209,0.046649678987007004
f210,0.06690852896694821
f211,0.013914539975209639
f212,0.01329599065790088
f213,0.14530787607508855
f214,0.014985214086105314
f215,0.017649106212793475
f216,0.02107767507671343
f217,0.009948277944418438
f218,0.010311633895857764
f219,0.012025790500810984
f220,0.01386744136183471
f221,0.0022590362898837757
f222,0.01763355083842022
f223,0.018550237059935304
f224,0.01666048694833977
f225,0.021673876868453013
f226,0.0001676596510551409
f227,0.0026342987096761306
f228,0.0010925759175139937
f229,0
f230,0.0024635232295455722
f231,0.1402616360490524
f232,0.002237814414368211
f233,0
f234,3.201649904327475e-05
f235,0.0001302020522464531
f236,0.00020993885595776973
f237,0.0032421836867195797
f238,0.00025289316677534757
f239,0.00021815167149408232
f240,0.00011103553389357756
f241,0.0004560172119207895
f242,0.00018258925808090076
f243,0
f244,5.2808603406839794e-05
f245,0.00026885482708149944
f246,3.8592180526375586e-05
f247,0.00010342138602958961
f248,0.00020800123831010708
f249,0
f250,0.00017956932019491667
f251,1.1967482604235968e-05
f252,0.006755178602513734
f253,0
f254,0
f255,1.181547080442158e-05
f256,0
f257,0.0001573694024681327
f258,1.658341404597863e-05
f259,0
f260,4.244359496841099e-05
f261,7.227686065602867e-05
f262,0.00018683505126659838
f263,0.00022048126470530782
f264,0
f265,0.0007719308242006839
f266,0
f267,0
f268,0
f269,0.0018663584414553291
f270,0
f271,0
f272,0.00035060149657328843
f273,0.00035909188898175515
f274,0.0009416220274043319
f275,0.0012303429782236641
f276,0.0009325146255130257
f277,6.413714751962729e-05
f278,0.0002904769322464862
f279,1.0389881119232669e-05
f280,0.0016159177056482843
f281,0
f282,7.346456374546229e-05
f283,0.00024891738799603935
f284,0.0003195334139163286
f285,0.12276293436085828
f286,0
f287,0.0001644950242234433
f288,0.0012445852777451805
f289,0
f290,0.00020039239337155124
f291,0
f292,0.0003047727727698568
f293,0.00041827467903932103
f294,0
f295,0.00014428252950970943
f296,0.00036894382785557234
f297,0
f298,0.00030858723211268924
f299,0.0001975045593467506
f300,5.1968440573535446e-05
f301,6.709380136005194e-05
f302,0
f303,0
f304,0
f305,0
f306,7.609268687969184e-05
f307,0.0003705789884893562
f308,0
f309,0
f310,0.0087696246576221
f311,0.009373861006823692
f312,0.008990689936440255
f313,0.009901924212835755
f314,0.010823035041203077
f315,0.007418196050941628
f316,0.009381357907522592
f317,0.009555472446504343
f318,0.010194755108456688
f319,0.01107627333836203
f320,0.009794908195592145
f321,0.010928622503013186
f322,0.010842816406243072
f323,0.011110773836563226
f324,0.010873943086083582
f325,0.008494975204937916
f326,0.008916847403877215
f327,0.009241813481336791
f328,0.01163167536765397
f329,0.008626744565035205
f330,0.008972142197479993
f331,0.008309926150885882
f332,0.14198286277239247
f333,0.0170542315738329
f334,0
f335,0
f336,0.020504352569090223
f337,0.020635525227831186
f338,0.020751240211597244
f339,0.020470043532403004
f340,0.02105477626543606
f341,0.020533577784394685
f342,0.020841417656581207
f343,0.020558267543820063
f344,0.020707587200065047
f345,0.021032238064033093
f346,0.020981555649055128
f347,0.008798597590172763
f348,0.008123175232942925
f349,0.053551893505796366
f350,0.09754577149606924
f351,0.008834918738699793
f352,0.008898086602074695
f353,0.05206497556787126
f354,0.12163687411943669
f355,0.01106697150174929
f356,0.01126345906346149
f357,0.011144070150468144
f358,0.009561134152117123
f359,0
f360,0.01609524382512295
f361,0.006529942805503008
f362,0.034711705755831934
f363,0.0665860932870983
f364,0.023605073886106887
f365,0.05620116016751009
f366,0.09251354763018038
